Date of Auction,Auction List No.,Lot No.,Description,Quantity,Unit
9/7/2020,C-3/2020,C-401,"Mobile Phone (Brand: Samsung, Model: GT-N7100, IMEI: 353627051972407), White Colour, with a Battery (Used)",1,No.
9/7/2020,C-3/2020,C-401,"Mobile Phone (Brand: MEIZU, Model: m3 note, IMEI: 869921021924862), White Colour (Used)",1,No.
9/7/2020,C-3/2020,C-401,"Mobile Phone (Brand: Samsung, Model: GT-I9300, IMEI: 351941062714621), Blue Colour (Used)",1,No.
9/7/2020,C-3/2020,C-401,Battery for Samsung #GT-I9003 (Brand: Samsung) (Used),1,No.
9/7/2020,C-3/2020,C-401,"Mobile Phone (Brand: MI, Model: MEE7, IMEI: 866764032340576), Black Colour, with a Case Cover (Used)",1,No.
9/7/2020,C-3/2020,C-401,"Mobile Phone (Brand: Apple, Model: A1524, IMEI: 355392071734398), Silver Colour, with a Case Cover (Used)",1,No.
9/7/2020,C-3/2020,C-402,Jeans (Brand: Emporio Armani),10,Nos.
9/7/2020,C-3/2020,C-402,T-shirt (Brand: Emporio Armani),8,Nos.
9/7/2020,C-3/2020,C-403,"Used Private Car ""TOYOTA"" without Key
Reg. No.: LF6218
Chassis No.: JTDBT22E703398729",1,No.
9/7/2020,C-3/2020,C-404,"Used Private Car ""TOYOTA"" without Key
Reg. No.: AV307
Chassis No.: MNH10-0093818",1,No.
9/7/2020,C-3/2020,C-405,"Used Private Car ""TOYOTA"" without Key
Reg. No.: LN9373
Chassis No.: MNH10-0113771",1,No.
9/7/2020,C-3/2020,C-406,"Used Private Car ""HONDA"" without Key
Reg. No.: RC8667
Chassis No.: JHMGD18703S207352",1,No.
9/7/2020,C-3/2020,C-407,"Used Private Car ""TOYOTA"" without Key
Reg. No.: TX5965
Chassis No.: JTEGS21H108005195",1,No.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BILSTEIN, Model: VNE-D501)",10,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-C81-A)",70,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-C98-A)",80,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-E49-0)",6,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BMW, Model: 10541310003551)",4,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: MERCEDES-BENZ, Model: A1643206113)",4,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 32-D83-A)",10,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 32-H58-A)",10,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 32-H59-A)",10,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 32-K24-A)",6,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 33-056-A)",10,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-A60-A)",20,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-C99-A)",80,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-D87-A)",18,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-D88-A)",6,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BILSTEIN, Model: VNE-D500)",10,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 32-L36-A)",22,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BMW, Model: 10541310003552)",1,No.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BMW, Model: 10541310007217)",1,No.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BMW, Model: 10541310007218)",1,No.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BMW, Model: 31311091557)",1,No.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BMW, Model: 3131678301602)",1,No.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BMW, Model: 3131678552701)",1,No.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BOGE automatic, Model: 36-C82-A)",120,Nos.
9/7/2020,C-3/2020,C-408,"Shock Absorber (Brand: BILSTEIN, Model: BE5-2652)",80,Nos.
9/7/2020,C-3/2020,C-408,"Auto Shock Absorber (Brand: BMW, Model: 31321092283)",2,Nos.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: BMW, Model: 31126794204)",2,Nos.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: BMW, Model: 31126798107)",3,Nos.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: BMW, Model: 31126798108)",2,Nos.
9/7/2020,C-3/2020,C-408,"Drive Shaft Assy Front (Brand: BMW, Model: 8605866)",4,Nos.
9/7/2020,C-3/2020,C-408,"Hydropneumatic Spring Leg (Brand: MERCEDES-BENZ, Model: A220320)",1,No.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: Lemforder, Model: 2594102)",1,No.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: Lemforder, Model: 2594201)",1,No.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: Lemforder, Model: 2719202)",5,Nos.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: Lemforder, Model: 2719302)",5,Nos.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: Lemforder, Model: 3033801)",2,Nos.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: Lemforder, Model: 3034001)",1,No.
9/7/2020,C-3/2020,C-408,"Control Arm (Brand: Lemforder, Model: 3455501)",2,Nos.
9/7/2020,C-3/2020,C-408,"Suspension Control Arm (Brand: Lemforder, Model: 1787501)",6,Nos.
9/7/2020,C-3/2020,C-408,"Suspension Control Arm (Brand: Lemforder, Model: 1791901)",6,Nos.
9/7/2020,C-3/2020,C-408,"Steering Gear (Brand: ZF Lenksysteme, Model: 7853501)",3,Nos.
9/7/2020,C-3/2020,C-408,Vehicle Parts (S/N:7418091948DJ81610042),1,No.
9/7/2020,C-3/2020,C-408,Vehicle Parts (S/N:7418091948DJ81410219),1,No.
9/7/2020,C-3/2020,C-408,Carton Box (Used to contain items 42-43),1,No.
9/7/2020,C-3/2020,C-408,Vehicle Parts (S/N: 7418091948DJ81410004),1,No.
9/7/2020,C-3/2020,C-408,Recycling Bag (Used to contain item 45),1,No.
9/7/2020,C-3/2020,C-408,Vehicle Parts (S/N: 7418091948DJ81780260),1,No.
9/7/2020,C-3/2020,C-408,Paper Bag (Used to contain item 47),1,No.
9/7/2020,C-3/2020,C-408,Packing Materials,1,Bun.
9/7/2020,C-3/2020,C-409,"GPS Machine, Marked with ""ESP Marine Electronic Equipment"", S/N: E00891270), Grey Colour (Used)",1,No.
9/7/2020,C-3/2020,C-409,"Mobile Phone (Brand: Apple, Model: A2104, IMEI: 357323096422691), Golden Colour, with a Box (Used)",1,No.
9/7/2020,C-3/2020,C-410,SONY PS4 Wireless Controller with Box,1,Set
9/7/2020,C-3/2020,C-410,"Wii U Console with GamePad, AC Adapter, GamePad AC Adapter, High Speed HDMI Cable, Sensor Bar, GamePad Cradle, GamePad Stand and Console Stand",1,Set
9/7/2020,C-3/2020,C-410,SONY PS4 Game Box with Game Disc and Three Books,2,Sets
9/7/2020,C-3/2020,C-410,"PSVITA Game Box with Eight Game Discs, Two Game Cards and Seven Books",1,Set
9/7/2020,C-3/2020,C-410,"SONY PS4 Console with Wireless Controller, HDMI Cable, AC Power Cord, Mono Headset, USB Cable and Printed Materials",1,Set
9/7/2020,C-3/2020,C-410,Nintendo Switch Taiko Drum Set,1,No.
9/7/2020,C-3/2020,C-410,Battle Pad Mario for Nintendo Switch,1,No.
9/7/2020,C-3/2020,C-410,Case for Nintendo Switch,2,Nos.
9/7/2020,C-3/2020,C-410,SNK Console (NEOGEO Mini) with Powder Cord,1,Set
9/7/2020,C-3/2020,C-410,"PowerCore 20100 Nintendo Switch Edition With Travel Pouch, Cable and Welcome Guide",1,Set
9/7/2020,C-3/2020,C-410,XBOXONE Game Disc with Box,12,Sets
9/7/2020,C-3/2020,C-410,Game Souvenir,40,Nos.
9/7/2020,C-3/2020,C-410,Game Leaflet,1,Bundle
9/7/2020,C-3/2020,C-410,Nintendo Switch Game Card,314,Nos.
9/7/2020,C-3/2020,C-410,SONY PS4 Game Disc,393,Nos.
9/7/2020,C-3/2020,C-410,Game Cover,9,Bundles
9/7/2020,C-3/2020,C-410,Video Game Disc (PS4),37,Nos.
9/7/2020,C-3/2020,C-410,Video Game Disc (XBOXONE),12,Nos.
9/7/2020,C-3/2020,C-410,Video Game Card (NINTENDO SWITCH),32,Nos.
9/7/2020,C-3/2020,C-411,Integrated Circuit (Said to be the total sum of 18 packs contain 98800 nos.),1,Carton
9/7/2020,C-3/2020,C-411,"Lens (Brand: Canon, Model: EF 17-40mm f/4.0L USM)",34,Nos.
9/7/2020,C-3/2020,C-411,"Lens (Brand: Nikon, Model: AF-S Nikkor 85mm f/1.8G)",30,Nos.
9/7/2020,C-3/2020,C-411,Samsung WB150F,139,Nos.
9/7/2020,C-3/2020,C-411,"Camera (Brand: Canon, Model: Ixus 240HS)",1,No.
9/7/2020,C-3/2020,C-411,"Digital Video Cam (Brand: SONY, Model: HDR-PJ380)",199,Nos.
9/7/2020,C-3/2020,C-411,"Camera (Brand: Canon, Model: PowerShot SX240 HS)",429,Nos.
9/7/2020,C-3/2020,C-411,SUPERPIX IC (Said to be contain 7000 nos.),59,Packs
9/7/2020,C-3/2020,C-411,Carton box(Used to pack item 8),2,Cartons
9/7/2020,C-3/2020,C-411,"Digital Camera Body (Brand: SONY, Model: NEX-5R)",13,Nos.
9/7/2020,C-3/2020,C-411,"Digital Camera Body (Brand: SONY, Model: NEX-6)",49,Nos.
9/7/2020,C-3/2020,C-411,"Camera (Brand: Canon, Model: PowerShot G15)",78,Nos.
9/7/2020,C-3/2020,C-411,"Lens (Brand: Canon, Model: EF-S 18-200mm f/3.5-5.6 IS)",50,Nos.
9/7/2020,C-3/2020,C-411,"Camera (Brand: Canon, Model: Ixy 610F)",300,Nos.
9/7/2020,C-3/2020,C-411,"Lens (Brand: SONY, Model: E 55-210mm F4.5-6.3 OSS)",12,Nos.
9/7/2020,C-3/2020,C-411,"Lens (Brand: SONY, Model: E PZ 16-50mm F3.5-5.6 OSS)",62,Nos.
9/7/2020,C-3/2020,C-411,"DSLR Body (Brand: Canon, Model: EOS 60D)",50,Nos.
9/7/2020,C-3/2020,C-411,"Lens (Brand: SONY, Model: E 18-55mm F3.5-5.6 OSS)",16,Nos.
9/7/2020,C-3/2020,C-411,"Digital Camera Body (Brand: SONY, Model: NEX-7)",15,Nos.
9/7/2020,C-3/2020,C-412,Bar Fridge,108,Nos.
9/7/2020,UP-3/2020,UP-701,Window Type Air-conditioner (Brand: Hitachi) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-702,Refrigerator (Brand: Summp) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-703,Television (Type: LED) (Flat-panel Display) (Brand: Prima) ,1,No.
9/7/2020,UP-3/2020,UP-704,Rice Cooker (Brand: Rasonic),1,No.
9/7/2020,UP-3/2020,UP-704,Rice Cooker (Brand: Matsusho),1,No.
9/7/2020,UP-3/2020,UP-704,Electric Fan (Type: Table) (Brand: JHE) ,1,No.
9/7/2020,UP-3/2020,UP-704,Telephone (Brand: Panasonic),1,No.
9/7/2020,UP-3/2020,UP-704,Rice Cooker (Brand: Homey),1,No.
9/7/2020,UP-3/2020,UP-705,Air-conditioner (Brand: Panasonic) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-705,Air-conditioner (Brand: Philco) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-706,Trolley (Brand: Sellery),1,No.
9/7/2020,UP-3/2020,UP-707,"Refrigerator (Brand: National, Model: NR-B17AC) (Dismantled)",1,No.
9/7/2020,UP-3/2020,UP-708,"Television (Type: Cathode-ray Tube) (Brand: Hitachi, Model: Unknown) ",1,No.
9/7/2020,UP-3/2020,UP-709,Refrigerator (Double-door) (Brand: Fortress) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-710,Electric Water Heater (Brand: German Pool) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-711,Computer Monitor (Type: LCD) (Flat-panel Display) (Brand: Rasonic),1,No.
9/7/2020,UP-3/2020,UP-712,Fan (Type: Table) (Brand: KDK) ,1,No.
9/7/2020,UP-3/2020,UP-712,Heater (Brand: Philips),1,No.
9/7/2020,UP-3/2020,UP-712,Rice Cooker (Brand: Rasonic),1,No.
9/7/2020,UP-3/2020,UP-712,Range Hood (Brand: Kuzzo Germany) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-712,Cooking Stove (Brand: Simpa) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-712,Rice Cooker (Brand: National),1,No.
9/7/2020,UP-3/2020,UP-712,Fan (Type: Table) (Brand: Kelvinator USA) ,1,No.
9/7/2020,UP-3/2020,UP-712,Exhaust Fan (Brand: Imasu Japan Design) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-712,"Hair Dryer (Brand: National, Model: EH5141)",1,No.
9/7/2020,UP-3/2020,UP-712,"Vacuum Cleaner (Brand: Midea, Model: PVC-863) ",1,No.
9/7/2020,UP-3/2020,UP-712,Electric Water Heater (Brand: Giggas Germany) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-712,"Dehumidifier (Brand: Hitachi, Model: RD-1700E) ",1,No.
9/7/2020,UP-3/2020,UP-712,Camcorder (Brand: JVC),1,No.
9/7/2020,UP-3/2020,UP-712,Camera (Brand: Canon),1,No.
9/7/2020,UP-3/2020,UP-712,"Iron (Brand: Windmere USA, Model: WA-S82) (Dismantled)",1,No.
9/7/2020,UP-3/2020,UP-713,Refrigerator (Brand: Fortress) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-714,Television (Type: LED) (Flat-panel Display) (Brand: LG) ,1,No.
9/7/2020,UP-3/2020,UP-715,Window Type Air-conditioner (Brand: Fortress) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-716,Electric Cooker (Brand: Fortress) ,1,No.
9/7/2020,UP-3/2020,UP-716,Rice Cooker (Brand: Proluxury),1,No.
9/7/2020,UP-3/2020,UP-716,Electric Water Heater (Brand: Hotpool) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-717,Refrigerator (Brand: Hitachi) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-717,Refrigerator (Brand: Mitsubishi) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-718,Television (Type: LCD) (Flat-panel Display) (Brand: Samsung) ,1,No.
9/7/2020,UP-3/2020,UP-719,Air-conditioner (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-720,Washing Machine (Brand: Samsung) (Dismantled) ,1,No.
9/7/2020,UP-3/2020,UP-721,Fan (Type: Standing) ,1,No.
9/7/2020,UP-3/2020,UP-721,Exhaust Fan (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-721,Water Heater (Brand: German Pool) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-721,Fan (Type: Wall-mounted) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-721,Fan (Type: Wall-mounted) (Brand: Panasonic) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-722,Exhaust Fan (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-722,Water Heater (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-722,Ceiling Fan (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-723,Air-conditioner (Dismantled),2,Nos.
9/7/2020,UP-3/2020,UP-724,Refrigerator (Brand: Mitsubishi Electric) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-725,Washing Machine (Brand: Sanyo) (Dismantled) ,1,No.
9/7/2020,UP-3/2020,UP-726,Water Heater (Brand: Hibachi) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-726,"Range Hood (Brand: Triumphal, Model: HY-2880) (Dismantled)",1,No.
9/7/2020,UP-3/2020,UP-726,"Induction Cooker (Brand: Hibachi, Model: HY-2800CD) ",1,No.
9/7/2020,UP-3/2020,UP-726,Microwave Oven (Brand: Midea),1,No.
9/7/2020,UP-3/2020,UP-726,Rice Cooker ,1,No.
9/7/2020,UP-3/2020,UP-726,Induction Cooker (Brand: Electrolux) ,1,No.
9/7/2020,UP-3/2020,UP-726,Air Cleaner (Brand: Panasonic) ,1,No.
9/7/2020,UP-3/2020,UP-726,DVD Player (Brand: Teledevice),1,No.
9/7/2020,UP-3/2020,UP-727,Air-conditioner (Brand: »´¤«?) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-728,Washing Machine (Brand: Fujibo) (Dismantled) ,1,No.
9/7/2020,UP-3/2020,UP-729,"Electric Water Heater (Brand: Meyake, Model: MWH-15) (Dismantled)",1,No.
9/7/2020,UP-3/2020,UP-730,Refrigerator (Brand: Hitachi) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-731,Window Type Air-conditioner (Brand: General) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-732,Shoe Cabinet ,1,No.
9/7/2020,UP-3/2020,UP-732,Single Burner Hotplate (Brand: Simpa) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-732,Electric Water Heater (Brand: Simpa) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-733,Refrigerator (Brand: Samsung) (Dismantled),1,No.
9/7/2020,UP-3/2020,UP-734,"Air-conditioner (Brand: Gree, Model: G1107S) (Dismantled)",1,No.
9/7/2020,UP-3/2020,UP-735,Monitor (Type: LCD) (Flat-panel Display) with Remote Control (Brand: LG),1,No.
9/7/2020,UP-3/2020,UP-736,Electric Oven (Brand: Samsung),1,No.
9/7/2020,UP-3/2020,UP-736,Induction Cooker (Brand: Kanazawa) ,1,No.
9/7/2020,UP-3/2020,UP-736,"Electric Water Heater (Brand: Fujiking,  Model: FJ-6.5HLI) (Dismantled)",1,No.
9/7/2020,UP-3/2020,UP-736,Electric Kettle (Brand: Philips),1,No.
9/7/2020,UP-3/2020,UP-736,"Toaster (Brand: Innoware, Model: SMK650)",1,No.
9/7/2020,UP-3/2020,UP-736,"Face Slimming Machine (Brand: SPT, Model: A54-K100C11)",1,No.
9/7/2020,UP-3/2020,UP-737,Refrigerator (Brand: Gala) (Dismantled),1,No.
